age	gender	education	studyabroad	problem	contribution	contribution	optimistic	fear	eastdev	origin	background	ruraldevplus	duration
17-25	Female	SMA	No	Crime,Limited job,Bureaucracy,Education,Health,PoliticsLaw,Agriculture,Energy,Natural resources,Defense, HumanSociety	Entrepreneur	Entrepreneur	Yes	Paper	Yes	Kalimantan Timur	Ekonomi	Yes	2-5
17-25	Female	SMA	No	Education	Professional	Professional	Maybe	Capital,Communication	Yes	Aceh	Kedokteran	Yes	< 2
17-25	Female	SMA	No	Limited job,Gender equality,Macroeconomics,Microeconomics,Youth	Professor	Professor	Yes	Believe,Paper,Alone,Capital,Communication,	Yes	Sulawesi Selatan	Pendidikan	Yes	< 2
17-25	Female	SMA	Yes	Bureaucracy,Health,Gender equality,Defense,Youth	Professional	Professional	Yes	Believe	Yes	Aceh	Kedokteran	Yes	5-7
17-25	Female	SMA	Yes	Limited job,Education	Professional	Professional	Yes	Realistic,Alone,Communication	Yes	Aceh	Kedokteran	Yes	5-7
17-25	Male	S1	No	Health	Birokrat	Birokrat	Yes	Bureaucracy	Yes	DKI Jakarta	Ekonomi	Yes	5-7
17-25	Male	S1	No	Health	Professor	Professor	Yes	Believe	Yes	Aceh	Teknik	Yes	> 7
17-25	Male	SMA	No	Limited job	Birokrat	Birokrat	Yes	Paper,Capital,Bureaucracy	Yes	Nusa Tenggara Timur	Sains	Yes	5-7
17-25	Male	S1	Yes	Energy,Natural resources,Technology	Professor	Professor	Yes	No idea	Yes	Banten	Teknik	Yes	2-5
17-25	Female	S2	Yes	Crime,Limited job,Education,PoliticsLaw,Media,Macroeconomics,Microeconomics,Youth	Birokrat	Birokrat	Yes	No idea	Yes	DKI Jakarta	Hubungan Internasional	Yes	2-5
17-25	Male	SMA	No	Education,Natural resources	Professional	Professional	Yes	Believe,Capital	Yes	Banten	Ilmu Komunikasi	Yes	< 2
17-25	Female	SMA	No	Bureaucracy,Education,Gender equality,HumanSociety,Media,Youth	Professional	Professional	Yes	Bureaucracy	Yes	Aceh	farmasi	Yes	2-5
17-25	Male	SMA	No	Crime,Bureaucracy,Education,PoliticsLaw,HumanSociety,Youth,CreativeTourism	Professor	Professor	Yes	Paper	Yes	DKI Jakarta	Teknik	Yes	2-5
17-25	Male	S1	Yes	Agriculture,Defense	Entrepreneur	Entrepreneur	Yes	Alone	Yes	Aceh	Teknik	Yes	5-7
17-25	Female	S1	No	Technology	Professor	Professor	Yes	Paper,Communication,Timing	No	DI Yogyakarta	Teknik	Yes	2-5
17-25	Male	SMA	No	Limited job,Energy	Entrepreneur	Entrepreneur	Maybe	Realistic	Yes	Sumatera Utara	Ekonomi	Yes	2-5
17-25	Male	SMA	No	Education,Microeconomics,Technology	Entrepreneur	Entrepreneur	Yes	Paper,Politics,Family,Alone,Capital,	Yes	Jawa Tengah	Pertanian	Yes	2-5
17-25	Male	SMA	No	Natural resources	Professor	Professor	Maybe	Timing,Inside	Yes	Sumatera Utara	Kesehatan	Yes	5-7
17-25	Female	S1	No	Limited job,Agriculture,Microeconomics,Youth	Entrepreneur	Entrepreneur	Yes	Alone	Yes	Jambi	pharmacist	Yes	< 2
17-25	Female	S1	No	Crime,Limited job,Education,Health,PoliticsLaw,Agriculture,Natural resources	Entrepreneur	Entrepreneur	Yes	Realistic,Politics,Capital	Yes	Jambi	pharmacist	Yes	< 2
17-25	Female	S1	No	Limited job	Entrepreneur	Entrepreneur	Yes	Alone,Capital	Yes	Jambi	pharmacist	Yes	< 2
26-30	Female	S1	No	Limited job	Entrepreneur	Entrepreneur	Yes	Capital	Yes	Jawa Timur	Psikologi	Yes	< 2
26-30	Female	S1	No	Limited job	Entrepreneur	Entrepreneur	Yes	Politics	Yes	DKI Jakarta	Ilmu Sosial dan Politik	Yes	2-5
17-25	Male	S1	No	Limited job,Education,Gender equality,Media,Microeconomics,Youth	Professional	Professional	Yes	Alone,Communication,Inside	Yes	Papua	Sains	Yes	> 7
17-25	Female	SMA	No	Education,HumanSociety	Professional	Professional	Yes	Communication	Yes	Jawa Barat	Teknik	Yes	2-5
17-25	Male	SMA	No	Education,Agriculture,Energy,Media,Microeconomics,Youth	Entrepreneur	Entrepreneur	Yes	Paper	Yes	Jawa Barat	Pendidikan	Yes	< 2
26-30	Male	S1	Yes	Crime,Bureaucracy,Education,PoliticsLaw,Natural resources,Media,Microeconomics,Youth	Professional	Professional	Yes	Alone	Yes	DKI Jakarta	Hukum	Yes	> 7
17-25	Female	S1	No	Education,Agriculture,Media,Microeconomics,Youth	Professional	Professional	Yes	Paper,Alone	Yes	Sumatera Utara	HumanSocietyiora	Yes	< 2
17-25	Male	S1	No	Limited job,Bureaucracy,Education,Health,PoliticsLaw,Agriculture,Energy,Natural resources,Defense,Defense, Technology	Professor	Professor	Yes	Believe	Yes	Jawa Tengah	Sains	Yes	2-5
17-25	Male	SMA	No	Education,Energy,Natural resources	Professional	Professional	Maybe	Alone	Yes	Jawa Barat	Teknik	Yes	< 2
17-25	Male	S1	No	Limited job	Professional	Professional	Yes	Paper,Alone,Capital,Communication	Yes	Kalimantan Timur	Teknik	Yes	< 2
26-30	Male	S2	Yes	Energy,Defense,Defense,Microeconomics	Birokrat	Birokrat	Yes	Politics,Communication	Yes	DI Yogyakarta	Teknik	Yes	2-5
17-25	Female	S1	No	Crime,Limited job,Bureaucracy,Education,Health,Gender equality,PoliticsLaw,Agriculture,Energy,Natural resources,	Professional	Professional	No	Politics,Bureaucracy	Yes	Jawa Barat	Kesehatan	Yes	2-5
17-25	Female	S1	No	Limited job,Education,Health,Media,Macroeconomics,Youth	Professional	Professional	Yes	Realistic,Paper	No	Jawa Timur	Ilmu Perpustakaan	No	5-7
17-25	Female	S1	No	Limited job,Bureaucracy,Education,Gender equality,HumanSociety,Media,Macroeconomics,Technology,Youth	Professional	Professional	No	Believe	Yes	Aceh	Seni dan Budaya	Yes	2-5
17-25	Female	S1	No	Education,Health	Entrepreneur	Entrepreneur	Yes	Believe	Yes	Jawa Tengah	Seni dan Budaya	Yes	< 2
26-30	Female	S1	Yes	Crime,Education,Health,Agriculture	Professor	Professor	Yes	Politics,Communication,Bureaucracy,Inside,	No	Jawa Timur	Kesehatan	No	< 2
17-25	Female	S1	No	Bureaucracy,Education	Professor	Professor	Yes	Believe	Yes	Jawa Tengah	Kesehatan	Yes	2-5
26-30	Female	S2	No	Youth	Professor	Professor	Yes	Realistic	Yes	Jawa Tengah	Pendidikan	Yes	< 2
17-25	Female	S1	No	Crime,Limited job,Bureaucracy,Education,Health,Gender equality,PoliticsLaw,Agriculture,Energy,Natural resources, Defense	Professor	Professor	Yes	Paper,Alone,Bureaucracy	Yes	Jawa Barat	Pendidikan	Yes	< 2
26-30	Female	S2	No	Crime,Limited job,Education	Entrepreneur, Professional, Professor	Entrepreneur, Professional, Professor	Yes	Believe	Yes	Jawa Barat	Pendidikan. Sastra. HumanSocietyiora. Peternakan. Bisnis.	Yes	< 2
17-25	Female	SMA	No	Crime,Limited job,Education	Professor	Professor	Yes	Believe	Yes	Jawa Timur	Seni/ Desain/ Media	Yes	2-5
17-25	Female	SMA	No	Education	Professor	Professor	Yes	Believe	Yes	Jawa Timur	Seni/ Desain/ Media	Yes	2-5
26-30	Female	S2	No	Bureaucracy,Media	Professor	Professor	Yes	Timing	Yes	Nusa Tenggara Barat	Sains	Yes	2-5
26-30	Male	S1	No	Education,Media,Youth	Birokrat	Birokrat	Yes	Believe	Yes	Jawa Barat	Ilmu Sosial dan Politik	Yes	2-5
26-30	Male	S1	No	Education,Media,Youth	Professor	Professor	Yes		Yes	Nusa Tenggara Barat	Sains	Yes	5-7
35+	Female	S2	No	Crime,Bureaucracy,Health,PoliticsLaw,Media	Professional	Professional	Yes	Believe	Yes	Sulawesi Selatan	Pendidikan	Yes	> 7
17-25	Female	S1	No	Limited job,Education,Technology	Professor	Professor	No	Realistic,Timing	No	Jawa Barat	Pendidikan	Yes	< 2
17-25	Female	S1	No	Crime	Professor	Professor	No	Paper,Alone	No	Jawa Barat	Pendidikan	Yes	< 2
17-25	Male	S1	Yes	Limited job,Education,Energy,Technology	Entrepreneur	Entrepreneur	Yes	Paper,Politics,Capital,Communication,Bureaucracy,	Yes	Jawa Timur	Teknik	Yes	2-5
17-25	Male	S1	No	Education,Health	Entrepreneur	Entrepreneur	Yes	Realistic	Yes	Kalimantan Timur	Teknik	Yes	< 2
17-25	Male	SMA	No	Youth	Entrepreneur	Entrepreneur	Yes	Paper	Yes	Jawa Barat	Teknik	Yes	2-5
26-30	Female	S2	Yes	Limited job,Education,Media,Technology,Youth	Professor	Professor	Yes	Realistic,Politics,Capital,Bureaucracy,Timing,	No	DKI Jakarta	Bisnis	No	
31-35	Male	S1	Yes	Health,Agriculture	Entrepreneur	Entrepreneur	Yes	Paper	Yes	Jawa Barat	Teknik	Yes	5-7
17-25	Female	S1	No	Crime,Limited job,Bureaucracy,Education,Health,Media,Macroeconomics,Microeconomics,Youth	Professor	Professor	Maybe	Communication	Yes	DI Yogyakarta	Farmasis	Yes	2-5
17-25	Female	SMA	No	Crime,Limited job,Agriculture,Microeconomics,Youth	Professional	Professional	Yes	Capital	Yes	Kalimantan Timur	Seni/ Desain/ Media	Yes	< 2
17-25	Male	D3	No	Limited job,Education,Youth	Entrepreneur	Entrepreneur	Yes	Realistic,Paper,Alone,Capital	No	Jawa Barat	Sistem Informasi/ Komputer	Yes	2-5
17-25	Male	S1	No	Crime,Bureaucracy,Gender equality,PoliticsLaw,Agriculture,Energy,Natural resources,Defense,Defense,Macroeconomics,	Professor	Professor	Yes	Bureaucracy	Yes	Sulawesi Selatan	Sains	Yes	> 7
17-25	Male	SMA	No	Energy,Natural resources,Defense	Entrepreneur	Entrepreneur	Yes	Alone	Yes	Sulawesi Selatan	Ekonomi	Yes	< 2
26-30	Male	S1	No	Bureaucracy,Health,Youth	Entrepreneur	Entrepreneur	Yes	Paper,Alone	Yes	DKI Jakarta	Bisnis	Yes	> 7
26-30	Male	S1	No	Crime,Education,Health,PoliticsLaw,Agriculture,HumanSociety,Youth	Entrepreneur	Entrepreneur	Yes	Paper,Capital,Communication	Yes	Nusa Tenggara Barat	Sains	Yes	5-7
17-25	Female	S1	Yes	Limited job,Bureaucracy,Energy	Birokrat	Birokrat	Yes	Believe	Yes	Jawa Tengah	Hubungan Internasional	Yes	< 2
17-25	Female	S1	No	Limited job,Education,Gender equality,Agriculture,Youth	Professor	Professor	Yes	Realistic	Yes	Sumatera Barat	Kesehatan	Yes	< 2
17-25	Male	S1	Yes	HumanSociety,Media	Professor	Professor	Yes	Realistic,Communication,Bureaucracy	Yes	Sulawesi Tengah	Teknik	Yes	2-5
17-25	Female	SMA	No	Limited job,Agriculture,Microeconomics,Youth	Professional	Professional	Yes	Believe	Yes	DKI Jakarta	Kesehatan	Yes	2-5
26-30	Male	S1	No	Education,Media	Professor	Professor	Yes	Paper,Timing	Yes	Nusa Tenggara Timur	HumanSocietyiora	Yes	2-5
17-25	Male	S1	No	Crime,Limited job,Education,Health,Youth	Professional	Professional	Maybe	Believe	Yes	DKI Jakarta	Teknik	No	5-7
17-25	Male	SMA	No	Agriculture,Media	Entrepreneur	Entrepreneur	Yes	Paper	Yes	Riau	Seni/ Desain/ Media	Yes	< 2
35+	Male	S1	No	Education	Professor	Professor	Yes	Believe	No	Jawa Barat	Pendidikan	Yes	2-5
17-25	Female	S1	Yes	Education,Technology	Entrepreneur	Entrepreneur	Maybe	Believe	No	Jawa Tengah	Bisnis	No	< 2
35+	Female	S2	Yes	Education,Youth	Professor	Professor	Maybe	Bureaucracy	Yes	DKI Jakarta	Pendidikan	Yes	2-5
17-25	Female	SMA	No	Crime,Limited job,Education,Health,Youth	Professional	Professional	Yes	Realistic,Politics	Yes	Jawa Barat	Kesehatan	Yes	2-5
17-25	Male	S1	No	Education	Professor	Professor	Maybe	Realistic,Politics	Yes	Jawa Tengah	Peternakan	Yes	2-5
17-25	Female	S1	No	Education	Professional	Professional	Yes	Family,Bureaucracy	Yes	DKI Jakarta	HumanSocietyiora	Yes	< 2
17-25	Female	SMA	No	Crime,Bureaucracy,Education,Media,Youth	Professor	Professor	Yes	Bureaucracy	Yes	Jawa Tengah	Pendidikan	Yes	< 2
17-25	Male	SMA	No	Agriculture	Professional	Professional	Maybe	Believe,Communication	Yes	Riau	Teknik	Yes	2-5
17-25	Female	SMA	No	Education	Professor	Professor	Yes	Paper,Alone	Yes	Jawa Tengah	Ilmu Sosial dan Politik	Yes	5-7
35+	Male	S3	No	Crime,Education,Health,Media	Professional	Professional	No	Believe	Yes	Kalimantan Timur	Teknik	Yes	5-7
17-25	Female	S1	No	Youth	Professor	Professor	Maybe	Alone,Bureaucracy	Yes	Nusa Tenggara Barat	Pendidikan	Yes	2-5
17-25	Male	SMA	No	Youth	Professional	Professional	Yes	Realistic,Paper,Politics,Alone,Capital,	Yes	Kalimantan Timur	Hubungan Internasional	Yes	2-5
17-25	Female	S1	No	Limited job,Bureaucracy,Education,Health,Agriculture,Macroeconomics,Microeconomics,Youth	Professor	Professor	Yes	Capital	Yes	Jawa Barat	Sains	Yes	2-5
17-25	Female	S1	No	Crime,Limited job,Bureaucracy,Agriculture,Energy,Natural resources,Defense,HumanSociety,Macroeconomics,Technology,	Professor	Professor	Maybe		Yes	Banten	Kesehatan	Yes	< 2
17-25	Female	SMA	No	Health	Entrepreneur	Entrepreneur	Yes	Realistic,Paper	Yes	Kalimantan Timur	Pendidikan	Yes	2-5
26-30	Female	S1	Yes	Education	Professional	Professional	Yes	Timing	Yes	Banten	Kedokteran	Yes	2-5
17-25	Male	SMA	No	Limited job,Energy,Natural resources	Professor	Professor	Yes	Family	Yes	Jawa Barat	Ekonomi	Yes	2-5
17-25	Male	SMA	No	Media	Professor	Professor	Yes	Politics	Yes	Jawa Barat	Ekonomi	Yes	2-5
17-25	Female	S1	No	Limited job,Education,Agriculture,Microeconomics,Technology,Youth	Entrepreneur	Entrepreneur	Yes	Believe	Yes	Jawa Barat	Kesehatan	Yes	2-5
26-30	Male	S1	No	Crime,Education,PoliticsLaw	Professional	Professional	Yes	Politics	Yes	Jawa Barat	Teknik	Yes	2-5
17-25	Male	SMA	No	Limited job,Education,PoliticsLaw,Media,Youth	Entrepreneur	Entrepreneur	Yes	Politics,Bureaucracy	Yes	Jawa Tengah	Sistem Informasi/ Komputer	Yes	> 7
17-25	Female	S2	No	Education,Agriculture,Natural resources,Youth,Environmental	Professor	Professor	Yes	Believe	Yes	Nusa Tenggara Barat	Kesehatan	Yes	5-7
26-30	Male	S1	Yes	Technology,Technology	Professional	Professional	Yes	Timing	Yes	Jawa Barat	Teknik	Yes	2-5
17-25	Female	SMA	No	Education	Professional	Professional	Yes	Politics,Bureaucracy	Yes	Jawa Barat	Seni/ Desain/ Media	Yes	2-5
17-25	Male	S1	No	Health	Professor	Professor	Yes	Timing	Yes	Jawa Timur	Pendidikan	Yes	2-5
17-25	Male	SMA	No	Energy	Professor	Professor	Yes	Realistic,Capital	Yes	Jawa Barat	Pendidikan	Yes	5-7
17-25	Male	SMA	No	Bureaucracy,Education	Entrepreneur	Entrepreneur	Maybe	Alone	Yes	Jawa Barat	Teknik	Yes	2-5
17-25	Female	SMA	No	Education,Youth	Entrepreneur	Entrepreneur	Maybe	Alone	Yes	Jawa Barat	Teknik	Yes	2-5
17-25	Male	S1	No	Limited job,Energy,Technology	Entrepreneur	Entrepreneur	Yes	Alone	Yes	Jawa Tengah	Sains	Yes	< 2
17-25	Male	S1	No	Crime,Limited job,Bureaucracy,Education,PoliticsLaw,HumanSociety,Technology,Youth	Professor	Professor	Yes	No idea	Yes	Jawa Tengah	Ilmu Sosial dan Politik	Yes	2-5
26-30	Male	S1	No	Crime,Limited job,Education,PoliticsLaw,Media	Professor	Professor	Maybe	Alone,Capital,Inside	Yes	Sumatera Barat	Ekonomi	Yes	> 7
17-25	Male	SMA	No	Crime,Bureaucracy,Agriculture,Media	Entrepreneur	Entrepreneur	Maybe	Believe	Yes	Jawa Timur	Siswa	Yes	< 2
17-25	Female	S1	No	Education,Gender equality,HumanSociety,Youth	Professor	Professor	Yes	Communication,No idea	Yes	Sulawesi Tenggara	Kesehatan	Yes	2-5
17-25	Male	S1	No	Education,Energy	Entrepreneur	Entrepreneur	Yes	Believe	Yes	Lampung	Teknik	Yes	2-5
17-25	Male	S1	No	Macroeconomics	Professor	Professor	Yes	Politics,Bureaucracy	Yes	Jawa Barat	Pendidikan	Yes	2-5
17-25	Female	SMA	No	Education	Professor	Professor	Yes	Alone	Yes	Jawa Tengah	Pendidikan	Yes	2-5
31-35	Male	S2	Yes	Education,Gender equality	Entrepreneur	Entrepreneur	Yes	Alone,Communication	Yes	Jawa Timur	Teknik	Yes	2-5
35+	Male	S2	Yes	Bureaucracy,Gender equality,Macroeconomics,Microeconomics	Birokrat	Birokrat	Yes	Believe	Yes	Papua Barat	Hubungan Internasional	Yes	< 2
17-25	Female	SMA	No	Education,Media,Technology	Entrepreneur	Entrepreneur	Yes	Politics	Yes	Jawa Barat	Teknik	Yes	2-5
17-25	Male	SMA	No	Limited job,Energy,Natural resources,Technology	Professional	Professional	Maybe	Communication	Yes	DI Yogyakarta	Pendidikan	Yes	5-7
26-30	Female	S1	Yes	Limited job,Education,Media,Technology,Youth	Birokrat	Birokrat	Maybe	,Timing	Yes	DKI Jakarta	pertanian	Yes	> 7
17-25	Female	S1	No	Bureaucracy,PoliticsLaw,Agriculture,Energy,Natural resources,HumanSociety,Media,Technology	Entrepreneur, Professional, Professor, Birokrat	Entrepreneur, Professional, Professor, Birokrat	Maybe	Capital	Yes	Jawa Barat	Teknik	Yes	2-5
17-25	Female	S1	No	Crime,Bureaucracy,Gender equality,PoliticsLaw,Energy,HumanSociety,Media,Youth	Professional	Professional	Maybe	Paper,Politics,Bureaucracy	Yes	Jawa Barat	Sains	Yes	2-5
17-25	Male	S1	No	Limited job,Education,Youth	Birokrat	Birokrat	Yes	Believe	Yes	DKI Jakarta	Hukum	Yes	< 2
17-25	Male	S1	No	Infrastructure	Professor	Professor	Yes	Capital	Yes	Jawa Tengah	Pendidikan	Yes	< 2
17-25	Female	S1	No	Technology	Professor	Professor	Yes	Paper	Yes	Sulawesi Tenggara	Pendidikan	Yes	2-5
17-25	Male	S1	No	Crime,Bureaucracy,Education,Health,PoliticsLaw,Agriculture,Media,Technology	Professor	Professor	Yes	Realistic,Paper,Politics,Alone,Capital,Bureaucracy	No	DKI Jakarta	Ekonomi	No	
17-25	Female	S1	No	Limited job,Education,Youth	Entrepreneur	Entrepreneur	Maybe	Believe	Yes	Jawa Barat	Sistem Informasi/ Komputer	Yes	< 2
31-35	Male	S2	Yes	Crime,Bureaucracy,Gender equality,HumanSociety,Media	Entrepreneur	Entrepreneur	Yes	Family,Bureaucracy	Yes	Bangka Belitung	Teknik	Yes	> 7
17-25	Female	S1	Yes	Bureaucracy,Education,Health,Youth	Entrepreneur	Entrepreneur	Yes	Believe	Yes	DKI Jakarta	Seni/ Desain/ Media	Yes	2-5
26-30	Female	S2	Yes	Bureaucracy,Health	Professor	Professor	Maybe	Believe	Yes	Jawa Tengah	Teknik	Yes	< 2
26-30	Female	S1	Yes	Bureaucracy,Education,HumanSociety,Media,Youth	Professional	Professional	Yes	Alone,Communication	Yes	Jawa Barat	Hukum	Yes	2-5
26-30	Male	S1	No	Limited job,Bureaucracy,Education,Macroeconomics,Microeconomics	Professor	Professor	Yes	Alone,Communication	Yes	Maluku	Perikanan	Yes	> 7
17-25	Female	S1	No	Education,PoliticsLaw,HumanSociety,Media	Professional	Professional	Yes	Believe,Politics	Yes	DKI Jakarta	Teknik	Yes	< 2
17-25	Female	S1	Yes	Limited job,Education,Defense	Professor	Professor	Yes	Paper,Alone,Timing	Yes	Jawa Tengah	Teknik	Yes	> 7
17-25	Male	SMA	No	Energy,Natural resources,Technology	Birokrat	Birokrat	Maybe	Believe	Yes	DKI Jakarta	Ilmu Sosial dan Politik	Yes	> 7
26-30	Male	S1	Yes	Health	Birokrat	Birokrat	Yes	Timing	Yes	Sumatera Selatan	Kesehatan	Yes	2-5
26-30	Male	S1	No	Education,Health	Professor	Professor	Yes	Capital	Yes	Maluku	Perikanan	Yes	> 7
17-25	Male	SMA	No	Health	Entrepreneur	Entrepreneur	Maybe	Believe	Yes	Jawa Tengah	Ilmu Sosial dan Politik	Yes	2-5
17-25	Male	SMA	No	Education,Health,PoliticsLaw,Agriculture,Technology	Professor	Professor	Yes	Politics,Bureaucracy	Yes	Jawa Tengah	Ilmu Sosial dan Politik	Yes	2-5
26-30	Female	S1	No	Health	Birokrat	Birokrat	Yes	Believe	Yes	DKI Jakarta	Kedokteran	Yes	2-5
17-25	Female	SMA	No	Crime,Defense	Professional	Professional	Yes	Believe	Yes	DKI Jakarta	Ilmu Sosial dan Politik	Yes	2-5
17-25	Male	S1	No	Agriculture	Professor	Professor	Yes	Politics,Bureaucracy,Inside	Yes	Banten	Ilmu Sosial dan Politik	Yes	2-5
26-30	Female	S1	Yes	Limited job,Energy,Media	Professor	Professor	Yes	Paper,Alone	Yes	DKI Jakarta	Ilmu Sosial dan Politik	Yes	< 2
26-30	Female	S1	No	Gender equality	Professor	Professor	Yes	Inside	Yes	DKI Jakarta	Ilmu Sosial dan Politik	Yes	2-5
17-25	Female	S1	No	Infrastructure	kkn	kkn	Yes	Politics,Alone,Communication	Yes	Jawa Tengah	Teknik	Yes	< 2
17-25	Male	S1	No	Education,PoliticsLaw,HumanSociety,Media	Professor	Professor	Maybe	Realistic,Alone,Inside	No	Jawa Timur	Teknik	No	< 2
26-30	Female	S1	No	Bureaucracy,Education,Health,Gender equality,HumanSociety,Media,Macroeconomics,Microeconomics	Professional	Professional	Maybe		Yes	Riau	Kesehatan	Yes	< 2
26-30	Male	S2	Yes	Limited job,Education	Professor	Professor	Yes	Realistic	Yes	Jawa Barat	Kedokteran	Yes	2-5
26-30	Female	S1	No	Education,Agriculture,HumanSociety,Media,Youth	Professional	Professional	Yes	Believe	Yes	Jawa Timur	Kedokteran	Yes	< 2
17-25	Female	S1	No	Crime,Limited job,Bureaucracy,Education,Gender equality,PoliticsLaw,HumanSociety	Professional	Professional	Maybe	Capital,Bureaucracy	Yes	Jawa Timur	Teknik	Yes	< 2
17-25	Female	S1	Yes	Crime,Education,PoliticsLaw	Professional	Professional	Yes	Realistic,Alone	Yes	DKI Jakarta	Kesehatan	Yes	< 2
31-35	Male	S1	Yes	Crime,Bureaucracy,Agriculture,Natural resources,Macroeconomics,Microeconomics	Birokrat	Birokrat	Yes	Believe	Yes	Jawa Timur	militer	Yes	2-5
17-25	Female	S1	No	Bureaucracy,Education,HumanSociety,Media	Entrepreneur	Entrepreneur	Yes	Believe	Yes	Riau	Bisnis	Yes	> 7
17-25	Male	S1	No	Bureaucracy,Defense,HumanSociety	Entrepreneur	Entrepreneur	Yes	Family	Yes	Jawa Barat	Sains	Yes	2-5
17-25	Female	S1	No	Crime,Education,Macroeconomics	Entrepreneur	Entrepreneur	Yes	Believe,Politics	Yes	Sulawesi Selatan	pertanian	Yes	> 7
17-25	Female	S1	No	Education	Entrepreneur	Entrepreneur	Yes	Alone	Yes	Papua Barat	Teknik	Yes	> 7
26-30	Female	S1	No	Education	Professor	Professor	Yes	Realistic,Paper,Bureaucracy	Yes	DKI Jakarta	Ilmu Sosial dan Politik	Yes	2-5
17-25	Female	S1	No	Crime,Limited job,Bureaucracy,Education,Media,Macroeconomics,Microeconomics,Technology	Professional	Professional	Maybe	Believe	Yes	Jawa Timur	Manajemen	Yes	< 2
17-25	Female	S1	No	Limited job,Health,Media,Technology	Professor	Professor	Yes	Politics	Yes	Banten	Sains	Yes	< 2
17-25	Female	S1	No	Crime,Limited job,Bureaucracy,Education,Agriculture,Defense	Professional	Professional	Yes	Realistic,Politics,Capital,Inside	Yes	Jawa Tengah	Pertanian	Yes	< 2
26-30	Male	S1	No	Limited job,CreativeTourism	Bisnis	Bisnis	Yes	Realistic,Politics,Capital,Inside	Yes	Sumatera Selatan	Hukum	Yes	> 7
31-35	Female	S1	No	Crime,Limited job,Bureaucracy,Education,Health,Gender equality,PoliticsLaw,Media,Youth	Professional	Professional	Maybe	Believe	Yes	Sulawesi Selatan	Psikologi	Yes	2-5
17-25	Female	S1	No	Health	Birokrat	Birokrat	Yes	Inside	No	Sumatera Barat	Hukum	No	
17-25	Male	S1	No	Limited job,Health,Gender equality,Agriculture,Technology	Professor	Professor	Yes	Politics,Alone	Yes	DKI Jakarta	Ilmu Sosial dan Politik	Yes	2-5
17-25	Male	S1	Yes	Education,Energy	Professor	Professor	Yes	Alone,Capital,Inside	Yes	Kalimantan Barat	Pendidikan	Yes	2-5
35+	Male	S2	Yes	Health,Youth	Professional	Professional	Yes	Believe	Yes	DKI Jakarta	Militer	Yes	2-5
17-25	Male	S1	Yes	Bureaucracy,Health,Agriculture,Natural resources,Defense	Professor	Professor	Yes	Family,Bureaucracy,Timing,Inside	No	DKI Jakarta	Ekonomi	No	
17-25	Male	S1	Yes	Limited job,Education,Defense,HumanSociety,Youth	Professor	Professor	Yes	Timing	No	DKI Jakarta	Ekonomi	No	
31-35	Female	S2	Yes	PoliticsLaw	Professor	Professor	Yes	Politics,Timing	Yes	Jawa Timur	Pendidikan	Yes	< 2
17-25	Female	S1	No	Agriculture,Natural resources,Defense	Professor	Professor	Yes	Politics	Yes	Sumatera Barat	Sains	Yes	2-5
26-30	Male	S1	No	Crime,Limited job,Bureaucracy,Education,Health,Gender equality,PoliticsLaw,Agriculture,Energy,Defense, Youth	Entrepreneur	Entrepreneur	Yes	Alone,Communication	Yes	Sulawesi Tenggara	Bisnis	Yes	2-5
17-25	Female	S1	No	HumanSociety	Professor	Professor	Yes	Realistic,Capital	Yes	DKI Jakarta	Teknik	Yes	< 2
26-30	Male	S1	No	Limited job,Energy,Macroeconomics	Professor	Professor	Yes	Alone,Bureaucracy	Yes	Nusa Tenggara Barat	Sains	Yes	> 7
17-25	Female	S1	Yes	Bureaucracy,Education,PoliticsLaw,Media,Macroeconomics,Microeconomics,Technology	Entrepreneur	Entrepreneur	Yes	Realistic,Paper,Alone	Yes	Jawa Barat	Seni/ Desain/ Media	Yes	2-5
31-35	Male	S1	Yes	Crime,PoliticsLaw,Macroeconomics,Microeconomics	Semuanya	Semuanya	Maybe	Realistic,Politics,Communication,Inside	Yes	DI Yogyakarta	Kedokteran dan pendidikan	Yes	< 2
17-25	Male	S1	No	Limited job,Education,Media	Professional	Professional	Yes	Believe	Yes	Sumatera Barat	Kedokteran	Yes	2-5
17-25	Female	S1	No	Limited job,Agriculture	Entrepreneur	Entrepreneur	Yes		Yes	Banten	Teknik	Yes	2-5
17-25	Female	S1	No	PoliticsLaw,Defense	Professor	Professor	Yes	Believe	Yes	Jawa Timur	Teknik	Yes	< 2
17-25	Female	SMA	No	Agriculture,Defense,HumanSociety,Media,Microeconomics,Youth	Professional	Professional	Yes	Believe	Yes	DKI Jakarta	Kesehatan	Yes	5-7
17-25	Male	S1	Yes	Education	Professional	Professional	Maybe	Paper,Politics,Bureaucracy	Yes	Kalimantan Selatan	Kedokteran	Yes	2-5
17-25	Female	S1	No	Bureaucracy,Education,Energy,Media	Professional	Professional	Maybe	Alone,Communication	Yes	Jawa Barat	Sains	Yes	2-5
26-30	Female	S1	No	Environmental	Professor	Professor	Yes	Politics	Yes	Sulawesi Selatan	Kelautan dan Perikanan	Yes	> 7
26-30	Female	S1	No	Agriculture,Youth	Professional	Professional	Yes	Realistic,Capital	Yes	DKI Jakarta	Hukum	Yes	2-5
17-25	Male	S1	No	Health	Professor	Professor	Yes	Believe	Yes	Bali	Sains	Yes	5-7
