age	gender	education	studyabroad	problem	contribution	optimistic	fear	eastdev	origin	background	ruraldevplus	duration
17-25	Male	SMA	No	Crime,Bureaucracy,Education,PoliticsLaw	Entrepreneur	Yes	Capital,Communication	Yes	Jawa Tengah	Peternakan	Yes	2-5
17-25	Male	SMA	No	Crime,Bureaucracy	Entrepreneur	Yes	Realistic	Yes	Kalimantan Selatan	Pendidikan	Yes	< 2
17-25	Female	S1	No	Limited job,Technology	Professor	Yes	Communication	Yes	Kalimantan Timur	Teknik	Yes	2-5
17-25	Female	S1	No	Crime,PoliticsLaw,Youth	Entrepreneur	Yes	Realistic,Politics	Yes	Jawa Barat	Sains	Yes	2-5
31-35	Female	S1	No	Health	Activist	Yes	Realistic,Politics,Inside	Yes	Jawa Timur	Teknik	Yes	< 2
17-25	Male	SMA	No	Limited job,Education,Technology	Birokrat	Yes	Realistic,Alone,Communication	Yes	DI Yogyakarta	Kesehatan	Yes	< 2
17-25	Male	S1	No	Crime,Bureaucracy,Education,Health,PoliticsLaw,Media	Professional	Yes	Realistic,Paper,Politics,Capital	Yes	Kalimantan Selatan	Kedokteran	Yes	2-5
17-25	Male	SMA	No	Crime,Limited job,Bureaucracy,Education,Health,PoliticsLaw,Agriculture,Energy,Natural resources,Defense, Microeconomics	Professional	Maybe	Family	Yes	DKI Jakarta	Seni/ Desain/ Media	Yes	2-5
17-25	Female	SMA	No	Education,Energy,Natural resources,Defense,Defense	Entrepreneur	Yes	Paper,Politics,Capital,Bureaucracy	Yes	Kalimantan Barat	Sains	Yes	2-5
17-25	Male	S1	No	Education,Youth	Entrepreneur	Yes	Paper,Politics,Capital,Communication	Yes	Jawa Barat	Teknik	Yes	2-5
17-25	Male	SMA	No	Technology	Entrepreneur	Yes	Believe	Yes	Jawa Tengah	Pendidikan	Yes	< 2
26-30	Female	S1	No	Health,Youth	Professional	Yes	Realistic,Paper,Alone	Yes	DKI Jakarta	Pendidikan	Yes	< 2
17-25	Female	S1	No	Technology	Professor	Yes	Realistic	Yes	Aceh	Kesehatan	Yes	> 7
17-25	Male	S1	No	Health	Professional	Yes	Timing	Yes	DKI Jakarta	Teknik	Yes	2-5
17-25	Male	S1	No	Youth,Youth	Entrepreneur	Yes	Realistic,Alone,Communication,Inside	Yes	Jawa Timur	Teknik	Yes	2-5
17-25	Female	S1	No	Crime,Limited job,Bureaucracy,Media,Microeconomics	Professor	Maybe	Alone,Capital	Yes	Jawa Barat	Sains	Yes	2-5
17-25	Female	S1	No	Crime,Bureaucracy,PoliticsLaw,Energy,Natural resources,Defense,Defense,Media,Technology	Professor	Yes	Believe	Yes	Lampung	Sastra	Yes	5-7
26-30	Female	S1	Yes	Education	Professional	Yes	Alone	Yes	DKI Jakarta	Bisnis	Yes	2-5
17-25	Female	SMA	No	Limited job,Energy,Natural resources	Professor	Yes	Paper,Alone,Inside	Yes	Nusa Tenggara Barat	Kesehatan	Yes	2-5
17-25	Male	S1	No	Education,Gender equality,Macroeconomics,Microeconomics,Youth	Professional	Maybe	Believe	No	Jawa Barat	Teknik	No
17-25	Male	S1	No	Limited job,Education,Health,Gender equality,PoliticsLaw,Agriculture,Energy,Natural resources,HumanSociety,Media, Youth	Entrepreneur	Maybe	Alone	Yes	Jawa Barat	Teknik	Yes	< 2
26-30	Female	S2	Yes	Technology	Professor	Yes	Realistic,Family	Yes	Banten	Hukum	Yes	2-5
17-25	Female	S1	Yes	Education	Professor	Yes	Believe	Yes	Jawa Timur	Hukum	Yes	< 2
17-25	Male	S2	Yes	Technology	Professor	Yes	Politics,Communication,Bureaucracy	Yes	Jawa Barat	Teknik	Yes	2-5
17-25	Male	S1	No	Limited job,Education,Agriculture,Energy	Professor	Yes	Paper	Yes	Jawa Timur	Bisnis	Yes	2-5
17-25	Male	S1	No	Bureaucracy,Microeconomics	Entrepreneur	Maybe	Paper	Yes	Sumatera Selatan	Teknik	Yes	< 2
26-30	Male	S1	No	Bureaucracy,Education,Health,Technology	Entrepreneur	Yes		Yes	Banten	Sistem Informasi/ Komputer	Yes	> 7
17-25	Female	S1	No	Limited job	Professor	Yes	Believe	Yes	Jawa Barat	Sistem Informasi/ Komputer	Yes	5-7
17-25	Male	SMA	No	PoliticsLaw	Entrepreneur	No	Bureaucracy	Yes	Jawa Barat	Ekonomi	Yes	5-7
17-25	Male	S1	Yes	Technology	Birokrat	Yes	Capital	Yes	Sulawesi Selatan	Bisnis	Yes	2-5
26-30	Female	S1	Yes	Media	Professional	Maybe	Paper,Alone,Communication,Inside	Yes	Jawa Barat	Teknik	Yes	2-5
26-30	Male	S1	No	Limited job	Professional	Yes	Politics	Yes	DKI Jakarta	Seni/ Desain/ Media	Yes	2-5
17-25	Female	S1	No	Education,Health,Agriculture,Youth	Entrepreneur	Yes	Family,Bureaucracy	Yes	DKI Jakarta	Bisnis	Yes	< 2
17-25	Female	S1	No	Crime,Limited job,Bureaucracy,Education,Media,Youth	Professor	Yes		Yes	Banten	Sistem Informasi/ Komputer	Yes	< 2
26-30	Male	S2	No	Crime,Limited job,Education,Health,Agriculture,Energy,Defense,HumanSociety,Media	Professional	Yes	Capital,Communication,Bureaucracy	Yes	DKI Jakarta	Teknik	Yes	5-7
17-25	Female	S1	No	Energy	Entrepreneur	Yes	Politics,Bureaucracy	Yes	Sumatera Barat	Teknik	Yes	2-5
26-30	Female	S1	No	PoliticsLaw	Professor	Yes	Believe,Alone	Yes	Jawa Timur	Kesehatan	Yes	2-5
17-25	Female	S1	No	Health	Professor	Yes	Politics,Bureaucracy	Yes	Sumatera Barat	Sains	Yes	2-5
26-30	Female	S3	Yes	HumanSociety,Technology,Youth	Entrepreneur	Maybe	Politics,Bureaucracy	Yes	Jawa Barat	Teknik	Yes	5-7
17-25	Female	S2	No	Education,Agriculture	Professor	Yes	Communication	Yes	Jawa Barat	Pendidikan	Yes	2-5
17-25	Female	S1	Yes	Crime,Limited job,Education,Health	Professional	Yes	Politics,Alone,Capital	Yes	Jawa Barat	Psikologi	Yes	< 2
26-30	Male	S2	No	Limited job,Youth	Entrepreneur	Yes	Communication,Timing	Yes	Kalimantan Barat	Teknik	Yes	2-5
35+	Male	SMA	Yes	Education	Entrepreneur	Yes	Politics,Alone,Capital,Communication	Yes	DKI Jakarta	Bisnis	No
17-25	Male	S1	No	Limited job,Education,Health,Media,Technology	Professional	Maybe	Capital,Bureaucracy,Timing	Yes	Sumatera Barat	Sains	Yes	< 2
17-25	Female	S2	Yes	Energy,Natural resources	Professor	Yes	Believe	Yes	Jawa Tengah	Pendidikan	Yes	2-5
31-35	Female	S2	Yes	Energy,Natural resources,Microeconomics,Technology	Professional	Maybe	Alone,Communication,No idea,Inside	Yes	DKI Jakarta	Ilmu Sosial dan Politik	Yes	2-5
17-25	Female	S1	Yes	Education	Professor	Maybe	Communication	Yes	Aceh	Seni dan Budaya	Yes	< 2
26-30	Female	S1	No	Limited job,Education,Health,Agriculture	Professional	Yes	Paper	No	Bangka Belitung	Pendidikan	No
17-25	Female	SMA	No	Limited job,Bureaucracy,Energy	Professor	Yes	Believe	Yes	Jawa Tengah	Pendidikan	Yes	5-7
17-25	Male	S1	No	Youth	Professional	Maybe	Family	Yes	DKI Jakarta	HumanSocietyiora	Yes	2-5
17-25	Male	S1	Yes	Crime,Bureaucracy,Education,Gender equality,PoliticsLaw,Macroeconomics,Microeconomics	Professor	Maybe	Realistic,Politics,Alone,Capital,No idea,	Yes	DI Yogyakarta	Teknik	Yes	5-7
17-25	Male	SMA	No	Crime,Bureaucracy,Education,Gender equality,PoliticsLaw,Defense,HumanSociety,Media,Technology,Youth,	Entrepreneur	Yes	Bureaucracy	Yes	Jawa Timur	Sains	Yes	5-7
17-25	Female	S1	Yes	Environmental	Professor	Maybe	Realistic,Paper,Politics,Family	No	Jawa Barat	Sistem Informasi/ Komputer	Yes	2-5
17-25	Male	S2	Yes	Education,Technology	Professor	Yes	Bureaucracy	Yes	Jawa Timur	Sistem Informasi/ Komputer	Yes	5-7
17-25	Male	S1	Yes	Agriculture	Professor	Maybe	Realistic,Paper,Politics,Alone,Capital,No idea	Yes	DI Yogyakarta	Sistem Informasi/ Komputer	Yes	2-5
17-25	Female	S1	No	Crime,Limited job,Bureaucracy,Education,Health,Agriculture,Energy,Media,Technology	Professor	Yes	Believe	Yes	Sulawesi Selatan	Sistem Informasi/ Komputer	Yes	< 2
17-25	Female	S1	Yes	Limited job,Education,Media	Professor	Yes	Family,Capital	Yes	Jawa Barat	Pendidikan	Yes	< 2
17-25	Female	S1	No	Crime,Bureaucracy,Health,Media	Professional	Yes	Paper,Communication	Yes	DKI Jakarta	Teknik	Yes	< 2
17-25	Male	S1	Yes	Crime,Limited job,HumanSociety,Media,Youth	Professional	Yes	Paper,Communication	Yes	Lampung	Teknik	Yes	< 2
17-25	Female	S1	Yes	Crime,Limited job,Bureaucracy,Education,Health,Agriculture,Media	Professor	Maybe	Paper,Politics,Family,Alone,Capital,	Yes	Bali	Ilmu Sosial dan Politik	Yes	< 2
17-25	Female	S2	Yes	Crime,Agriculture,Energy,Defense,Technology	Professional	Yes	Realistic	Yes	Jawa Barat	Bisnis	Yes	> 7
17-25	Female	S1	No	Limited job,Bureaucracy,Education,PoliticsLaw,Media,Microeconomics	Entrepreneur	Yes	Believe,Family,Capital	Yes	DI Yogyakarta	Ilmu Sosial dan Politik	Yes	2-5
17-25	Male	S1	No	Crime,Limited job,Bureaucracy,Education,Media,Technology,Youth	Entrepreneur	Yes	Realistic,Capital	Yes	Sumatera Selatan	Sistem Informasi/ Komputer	Yes	2-5
26-30	Female	S1	No	Energy,Natural resources	Professor	Yes	Politics	Yes	Riau	Teknik	Yes	< 2
17-25	Female	S1	No	Infrastructure	Professional	Yes	Paper,Bureaucracy	Yes	Jawa Timur	Kesehatan	Yes	2-5
31-35	Male	SMA	No	Education,Health,Agriculture	Entrepreneur	Maybe	Believe	Yes	Jawa Barat	Pendidikan	Yes	> 7
26-30	Male	S1	No	Energy	Professor	Yes	Realistic,Inside	Yes	Jawa Barat	Pendidikan	Yes	2-5
17-25	Male	SMA	No	Limited job,Bureaucracy,Education,PoliticsLaw,Agriculture,Energy,HumanSociety,Media,Technology	Entrepreneur	Yes	Believe	Yes	Jawa Tengah	Pendidikan	Yes	< 2
17-25	Female	S1	No	Crime,Education,Media,Youth	Professional	Yes	Realistic,Paper	Yes	Jawa Barat	Sains	Yes	2-5
26-30	Male	S1	No	Limited job	Professional	Maybe	Realistic	Yes	Jawa Barat	Teknik	Yes	< 2
35+	Male	S3	Yes	Education,HumanSociety	Professional	Yes	Communication	Yes	DKI Jakarta	Teknik	Yes	< 2
31-35	Female	S2	No	Crime,Education,Youth	Professional	Maybe	Realistic,Politics,Bureaucracy	Yes	Jawa Barat	Teknik	Yes	2-5
17-25	Female	S1	No	Education	Activist	Maybe	Realistic,Capital	No	Aceh	Teknik	Yes	< 2
17-25	Male	S1	No	Bureaucracy,Education,Health	Birokrat	Yes	Believe	Yes	Jawa Timur	HumanSocietyiora	Yes	2-5
17-25	Female	SMA	Yes	HumanSociety	Professor	Yes	Politics	Yes	Jawa Barat	Kesehatan	Yes	< 2
17-25	Female	S1	No	Crime,PoliticsLaw	Professor	Yes	Realistic,Paper,Politics,Communication	Yes	DI Yogyakarta	Pendidikan	Yes	5-7
17-25	Female	S1	No	Limited job,Education	Professor	Yes	Alone,Communication,Inside	Yes	Jawa Timur	Pendidikan	Yes	2-5
17-25	Male	SMA	No	HumanSociety,Media,Youth	Entrepreneur	Yes	Alone	Yes	Jawa Tengah	Pendidikan	Yes	5-7
17-25	Female	S1	No	Energy,Natural resources,Technology	Professional	Maybe	Paper,Alone,Communication	Yes	Jawa Tengah	Ekonomi	Yes	< 2
26-30	Male	S1	Yes	Education,Health,Agriculture,Natural resources,Defense,Defense,Youth	Professional	Maybe	Believe	Yes	DKI Jakarta	Pendidikan	Yes	2-5
17-25	Female	S1	No	Crime,Limited job,Bureaucracy,Education,PoliticsLaw,Media	Professional	Yes	Bureaucracy	Yes	DI Yogyakarta	Kesehatan	Yes	< 2
17-25	Female	S1	No	Crime,Limited job,Bureaucracy,Education,Agriculture,Defense,Media,Microeconomics,Technology,Youth,	Professional	Yes	Paper,Alone,Capital	Yes	Sumatera Barat	Pendidikan	Yes	2-5
26-30	Male	S1	No	Crime,Education,Youth	Professional	Yes	Believe	Yes	Papua	Teknik	Yes	> 7
35+	Male	S2	Yes	Crime,Education,PoliticsLaw,HumanSociety,Media,Technology,Youth	Professional	Yes	Realistic,Politics,Bureaucracy,No idea,Inside,	Yes	Jawa Timur	Militer	Yes	2-5
26-30	Male	S1	No	Education,Youth	Professional	Yes	Realistic,Politics,Bureaucracy,No idea,Inside,	Yes	Papua	Teknik	Yes	> 7
26-30	Male	S1	No	Education,Agriculture,Media	Professional	Yes	Realistic	Yes	Papua	Teknik	Yes	> 7
17-25	Female	S1	No	Education,Defense,Technology,Youth	Professional	Yes	Bureaucracy,Timing	Yes	Jawa Barat	Pendidikan	Yes	> 7
17-25	Female	S2	Yes	Limited job,Gender equality,Youth	Professor	Maybe	Believe	Yes	Banten	Ilmu Sosial dan Politik	Yes	2-5
17-25	Male	S1	No	Education	Professor	Yes	Family	No	Riau	Teknik	Yes	< 2
17-25	Male	S1	No	HumanSociety,Youth	Professor	Maybe	Realistic,Politics,Alone,Bureaucracy	Yes	Jawa Timur	Teknik	Yes	5-7
17-25	Male	S2	Yes	Microeconomics	Professional	Maybe	Paper,Timing	Yes	DKI Jakarta	Sistem Informasi/ Komputer	Yes	2-5
17-25	Female	S1	No	Education	Entrepreneur	Yes	Believe,Communication	Yes	Banten	Kesehatan	Yes	2-5
17-25	Female	S1	No	Bureaucracy,Health,Media	Entrepreneur	Maybe	Paper,Politics,Family,Alone,Capital,	Yes	Jawa Barat	Teknik	Yes	< 2
17-25	Female	S1	No	Crime,Limited job,Bureaucracy,Education,Health,Gender equality,Agriculture,Energy,Natural resources,Defense, Youth	Professor	Maybe	Paper,Politics,Family,Alone,Capital,	Yes	Jawa Tengah	Pendidikan	Yes	2-5
26-30	Male	S1	Yes	Crime,Education,Media	Birokrat	Yes	Politics	Yes	Papua	Teknik	Yes	2-5
26-30	Male	S2	No	Crime,Limited job,Bureaucracy,Media	Birokrat	Yes	Realistic,Capital,Bureaucracy,Timing	Yes	Jawa Tengah	Pendidikan	Yes	2-5
26-30	Female	S1	No	Technology	Professor	Maybe	Paper,Timing	Yes	Jawa Timur	Kesehatan	Yes	2-5
17-25	Male	SMA	No	Bureaucracy,Technology	Entrepreneur	Yes	Politics	Yes	Aceh	Teknik	No
17-25	Female	SMA	No	Education,Media	Professional	Yes	Believe	Yes	Jawa Barat	Sains	Yes	< 2
17-25	Male	S1	No	Crime,Bureaucracy,Youth	Entrepreneur	Yes	Realistic	Yes	Bali	Sistem Informasi/ Komputer	Yes	> 7
26-30	Female	S1	No	Health	Professional	Maybe	Paper,Family,Capital	No	Jawa Barat	Teknik	No
26-30	Male	S2	Yes	Education,Energy,Natural resources	Professional	Yes	Capital,Timing	Yes	Jawa Barat	Teknik	Yes	2-5
17-25	Female	S1	No	Youth	Professor	Yes	Politics,Bureaucracy	Yes	Jawa Barat	Teknik	Yes	2-5
26-30	Male	S1	No	Crime,Macroeconomics	Entrepreneur	Yes	Capital	Yes	Jawa Timur	Sistem Informasi/ Komputer	Yes	< 2
26-30	Female	S1	No	Crime,Education,Defense	Professional	Yes		Yes	Kalimantan Selatan	Teknik	Yes	> 7
17-25	Female	SMA	No	Health	Entrepreneur	Yes	Politics,Communication,Bureaucracy	Yes	Jawa Timur	Sistem Informasi/ Komputer	Yes	< 2
17-25	Male	S1	No	Limited job,Education,Youth	Professor	Yes	Communication,Bureaucracy	Yes	Jawa Barat	Sistem Informasi/ Komputer	Yes	2-5
17-25	Male	S1	No	Limited job,Education,Youth	Professor	Yes	Realistic	Yes	Jawa Barat	Sistem Informasi/ Komputer	Yes	2-5
17-25	Male	SMA	No	Bureaucracy,PoliticsLaw,Defense,Defense	Professor	Yes	No idea	Yes	DI Yogyakarta	Bisnis	Yes	> 7
17-25	Male	S1	No	Limited job,Education,Youth	Professor	Maybe	Alone	Yes	Jawa Barat	Teknik	Yes	2-5
17-25	Female	SMA	No	Limited job,Education,Youth	Entrepreneur	Yes	Communication	Yes	Banten	Bisnis	Yes	< 2
17-25	Male	S1	No	Bureaucracy,Education,Gender equality	Professor	Yes	Paper,Alone	Yes	Sulawesi Selatan	Teknik	Yes	2-5
26-30	Male	S1	Yes	Crime,Energy	Professor	Maybe	Realistic,Politics	Yes	DI Yogyakarta	Teknik	Yes	5-7
17-25	Female	S1	No	Limited job,Bureaucracy,Education,Health,Energy,Defense	Professor	Yes	Paper	Yes	Jawa Barat	Teknik	Yes	2-5
17-25	Female	S1	No	Crime,Limited job,Bureaucracy,Education,Technology	Professor	Yes	Paper,Politics,Bureaucracy	Yes	DI Yogyakarta	Pendidikan	Yes	5-7
31-35	Male	S2	No	Bureaucracy,Health,Agriculture	Professor	Yes	Alone	Yes	Jawa Tengah	Ilmu Sosial dan Politik	Yes	2-5
17-25	Male	S1	No	Education,Media,Technology,Youth	Entrepreneur	Yes	Realistic,Paper,Politics,Family,Capital,Bureaucracy	Yes	DKI Jakarta	Sistem Informasi/ Komputer	Yes	2-5
17-25	Male	SMA	No	Education	Entrepreneur	Yes		Yes	Sumatera Barat	Sains	Yes	2-5
26-30	Female	S2	Yes	Education,Defense,Youth	Birokrat	Yes	Capital	Yes	DKI Jakarta	Ekonomi	Yes	< 2
17-25	Male	S1	No	Education,Education	Professor	Yes	Alone	Yes	Jawa Barat	Ilmu Sosial dan Politik	Yes	< 2
17-25	Male	S1	No	Health,Agriculture	Professor	Yes	Family,Alone	Yes	Sumatera Barat	Sains	Yes	5-7
26-30	Male	S1	No	Limited job,Energy,Media,Macroeconomics,Technology	Professional	Yes	Paper,Alone,Communication	Yes	DKI Jakarta	Ekonomi	Yes	2-5
17-25	Male	S1	No	Education,Youth	Professional	Yes	Believe	Yes	Jawa Barat	Teknik	Yes	> 7
17-25	Male	SMA	No	Limited job,Bureaucracy,Technology,Youth	Professional	Yes	Paper,Alone,Capital	Yes	Jawa Timur	Pendidikan	Yes	5-7
26-30	Male	S1	No	Energy	Professor	Yes	Believe	Yes	Jawa Timur	Hukum	Yes	2-5
17-25	Male	S1	No	Limited job,Energy,Technology,Youth	Entrepreneur	Yes	Realistic	Yes	DI Yogyakarta	Teknik	Yes	< 2
17-25	Male	S1	No	Energy,Natural resources	Professional	Maybe	Believe,Alone	Yes	DKI Jakarta	Teknik	Yes	< 2
17-25	Female	S1	No	Crime,Limited job,Bureaucracy,Education,Health,PoliticsLaw,Media,Technology,Youth	Professor	Yes	Realistic,Paper,Capital,Bureaucracy	Yes	Jawa Barat	Kesehatan	Yes	< 2
17-25	Male	SMA	No	Education,Energy,Natural resources	Professor	Yes	Believe	Yes	Sulawesi Selatan	Pendidikan	Yes	2-5
26-30	Male	S1	Yes	Limited job	Entrepreneur	Yes	Alone,Timing	Yes	Jawa Tengah	Ekonomi	Yes	< 2
17-25	Female	S1	Yes	Crime,Limited job,Bureaucracy,Education,PoliticsLaw,Media,Youth	Professor	Yes	Realistic,Alone,Capital	Yes	Jawa Tengah	Teknik	Yes	< 2
17-25	Female	S1	Yes	Crime,Limited job,Bureaucracy,Education,PoliticsLaw,Media,Youth	Professional	Yes	Realistic,Paper	Yes	Banten	Kesehatan	Yes	< 2
26-30	Male	S1	No	Limited job,Education,Gender equality,HumanSociety,Media,Microeconomics	Professor	Yes	Paper,Politics,Alone,Capital,Bureaucracy,	Yes	Jawa Barat	Ilmu Sosial dan Politik	Yes	< 2
17-25	Female	S2	No	Crime,Limited job,Energy,Natural resources,Defense,Macroeconomics	Professor	Maybe	Paper,Politics,Alone,Capital,Bureaucracy,	Yes	Jawa Barat	Pendidikan	Yes	> 7
17-25	Female	S2	No	Limited job,Education,Health,HumanSociety,Media	Professor	Maybe	Alone,Communication,No idea,Inside	Yes	Jawa Barat	Pendidikan	Yes	> 7
17-25	Male	SMA	No	Technology,Youth	Entrepreneur	Yes	Politics,Capital,Communication,Bureaucracy	Yes	Sumatera Utara	Sistem Informasi/ Komputer	Yes	5-7
17-25	Male	S1	No	Energy	Professional	Maybe	Capital	Yes	Jawa Tengah	Teknik	Yes	2-5
26-30	Male	S2	No	Energy	Entrepreneur	Yes	Believe,Capital	Yes	Jawa Tengah	Bisnis	Yes	< 2
17-25	Female	S1	No	Education,Youth	Professor	Yes	Timing	Yes	Lampung	Sistem Informasi/ Komputer	Yes	2-5
17-25	Female	S1	No	Education,Youth	Activist	Maybe	Capital	Yes	Jawa Barat	Hubungan Internasional	Yes	5-7
17-25	Male	SMA	No	Education	Professor	Yes	Paper	Yes	Jawa Tengah	Pendidikan	Yes	2-5
17-25	Male	SMA	No	Crime,Education,Health,PoliticsLaw,Media	Entrepreneur	Yes	Paper,Family,Alone,Capital,Communication,	Yes	Jawa Timur	Ekonomi	Yes	2-5
17-25	Male	S1	No	Youth,Microeconomics	Professor	Yes	Communication	Yes	DI Yogyakarta	Pendidikan	Yes	2-5
17-25	Male	S1	No	Education	Professor	Yes	Alone	Yes	DI Yogyakarta	Pendidikan	Yes	2-5
17-25	Male	S1	Yes	Education	Professor	Yes	Believe	Yes	DI Yogyakarta	Sains	Yes	5-7
17-25	Female	S1	No	Crime,Limited job,Macroeconomics,Microeconomics	Birokrat	Yes	Family,Alone,Capital,Communication	Yes	DKI Jakarta	Sistem Informasi/ Komputer	Yes	< 2
17-25	Male	S1	No	Energy,Natural resources,Technology	Birokrat	Yes	Believe	Yes	Bangka Belitung	Sains	Yes	> 7
17-25	Male	S1	No	Education	Entrepreneur	Maybe	Believe	No	Sumatera Selatan	Teknik	No
26-30	Male	S1	No	Crime,Bureaucracy,PoliticsLaw	Professor	Yes	Capital	Yes	Jawa Timur	Teknik	Yes	2-5
17-25	Female	S1	No	Limited job,Education,Agriculture	Entrepreneur	Yes	Realistic,Paper,Bureaucracy,Timing,	Yes	Riau	Teknik	Yes	2-5
31-35	Female	S2	Yes	Crime,Bureaucracy,PoliticsLaw,Energy,Media	Professor	Yes	Believe	Yes	Kepulauan Riau	Teknik	Yes	2-5
26-30	Male	S1	No	Limited job,Education,Health,Gender equality,Agriculture,Energy,Media,Youth	Professional	Yes	Believe	Yes	Sumatera Barat	Ekonomi	Yes	2-5
17-25	Female	D3	No	Limited job,Education,Media	Entrepreneur	Yes	Believe,Paper	Yes	DKI Jakarta	Ekonomi	Yes	2-5
17-25	Female	S1	No	Crime,Limited job,Education,Agriculture,Microeconomics,Youth	Birokrat	Yes	Realistic,Paper,Alone,Inside	Yes	Sumatera Selatan	Ilmu Sosial dan Politik	Yes	2-5
26-30	Female	S1	Yes	Crime,Bureaucracy,Education,Energy,Natural resources,Technology,Youth	Professor	Maybe	Alone,Inside	No	DKI Jakarta	Sains	No
17-25	Male	S2	No	Crime,Education,Health,PoliticsLaw,Media,Youth	Entrepreneur	Yes	Paper	No	Lampung	Sistem Informasi/ Komputer	No
26-30	Female	S1	No	Limited job,Health	Professional	Yes	Paper,Capital	Yes	Bali	Teknik	Yes	< 2
17-25	Female	S1	No	Energy,Natural resources,Youth	Professional	Yes	Paper,Alone,Inside	Yes	Jambi	Pendidikan	Yes	< 2
17-25	Male	S1	No	Education	Professor	Maybe	Paper	Yes	Jawa Timur	Pendidikan	Yes	> 7
17-25	Female	SMA	No	Limited job,Bureaucracy,Media	Entrepreneur	Maybe	Believe	Yes	Jawa Barat	Teknik	Yes	< 2
17-25	Male	S1	No	Bureaucracy,Education,Agriculture,Defense,Youth	Professional	Maybe	Paper,Family,Alone	Yes	Bengkulu	Teknik	Yes	2-5
17-25	Female	SMA	No	Education,PoliticsLaw,Agriculture,Defense,Media,Technology,Youth	Professor	Maybe	Timing	Yes	Jawa Barat	Ekonomi	Yes	5-7
26-30	Female	S1	No	Education,Defense	Professional	Yes	Timing	Yes	Jawa Timur	Kedokteran	Yes	< 2
17-25	Female	S1	No	Bureaucracy	Entrepreneur	Maybe	Capital,Inside	Yes	Jawa Barat	Seni/ Desain/ Media	Yes	< 2
17-25	Female	S1	Yes	Limited job	Birokrat	Yes	Family,Alone,Communication	Yes	Jawa Tengah	Pendidikan	Yes	< 2
17-25	Male	SMA	No	Bureaucracy,Agriculture,Technology	Entrepreneur	Yes	Politics	Yes	Lampung	Teknik	Yes	5-7
17-25	Male	S1	No	Gender equality	Professional	Maybe	Believe	Yes	Jawa Tengah	Sistem Informasi/ Komputer	Yes	< 2
17-25	Male	S1	No	HumanSociety,HumanSociety	Entrepreneur	Yes	Paper,Alone,Capital	Yes	Sumatera Barat	Seni dan Budaya	Yes
17-25	Female	S2	No	Crime	Professor	Maybe	Believe	Yes	Jawa Barat	Sains	Yes	< 2
17-25	Male	S1	No	Crime,Education	Professor	Yes	Believe	Yes	Jawa Barat	Pendidikan	Yes	2-5
17-25	Female	S1	No	Gender equality,Youth	Professional	Maybe	Realistic,Alone,Communication,No idea,Inside,	Yes	Jawa Timur	Seni/ Desain/ Media	Yes	< 2
17-25	Female	SMA	No	Limited job	Professional	Yes	Politics,Bureaucracy	Yes	Jawa Barat	Pendidikan	Yes	2-5
17-25	Male	SMA	No	Limited job,Education	Entrepreneur	Yes	Realistic,Paper,Politics,Family,Capital,Bureaucracy	Yes	Jawa Barat	Teknik	Yes	2-5
17-25	Female	S1	No	Crime,Bureaucracy,Education,Health,Gender equality,PoliticsLaw,Energy,Microeconomics	Professor	Yes	Believe	Yes	DKI Jakarta	Hukum	Yes	> 7
17-25	Female	SMA	No	Education	Entrepreneur	Yes	Realistic	Yes	Jawa Barat	Pendidikan	Yes	< 2
26-30	Male	S2	Yes	Education,Youth	Professional	Maybe		Yes	Jawa Timur	Teknik	Yes	< 2
26-30	Female	S2	No	Crime,Limited job,Education,Health,Agriculture,Energy,Natural resources,Defense,Defense,Technology,	Professor	Yes	Believe	Yes	DI Yogyakarta	Ilmu Sosial dan Politik	Yes	< 2
17-25	Male	SMA	No	Limited job,Macroeconomics,Microeconomics,Technology	Entrepreneur	Yes	Realistic,Communication,No idea,Inside	Yes	Sulawesi Utara	Sistem Informasi/ Komputer	Yes	> 7
17-25	Female	D3	No	Health	Entrepreneur	Yes	Alone,Capital	Yes	Jawa Barat	Bisnis	Yes	< 2
17-25	Male	SMA	No	Technology,Youth	Entrepreneur	Maybe	Paper,Politics,Alone,Capital,Bureaucracy,	Yes	Jawa Barat	Teknik	Yes	> 7
17-25	Male	S1	No	Bureaucracy,Education,Health,Gender equality	Entrepreneur	Yes	Politics	Yes	Jawa Barat	Teknik	Yes	< 2
26-30	Female	S1	No	Limited job,Education	Activist	Yes	Inside	Yes	Sumatera Utara	Sains	Yes	2-5
17-25	Female	S2	Yes	Crime,Limited job,Bureaucracy,Education,Health,Gender equality,HumanSociety,Media,Technology,Youth,	Entrepreneur	Yes	Politics	Yes	Jawa Barat	Bisnis	Yes	2-5
26-30	Female	S1	Yes	Media	Professional	Yes	Believe	Yes	DKI Jakarta	Ekonomi	Yes	< 2
17-25	Female	S1	No	Energy,Natural resources	Professional	Yes	Believe	Yes	Sulawesi Selatan	Psikologi	Yes	< 2
17-25	Male	S1	No	Education	Professional	Yes	Politics,Family,Alone	Yes	Jawa Barat	Hukum	No
26-30	Female	S1	Yes	Education,PoliticsLaw,Media,Youth	Entrepreneur	Maybe	Paper	Yes	DKI Jakarta	Sistem Informasi/ Komputer	Yes	< 2
26-30	Female	S1	Yes	Education,Agriculture,Defense	Entrepreneur	Maybe	Bureaucracy	Yes	DKI Jakarta	Sistem Informasi/ Komputer	Yes	< 2
